"","City","Lat","Lon","pollutant","pollutant_level","pollutant_refine","pollutant_measure"
"80","Oakville","43.486917","-79.702278","NO2","200 ppb",200,"ppb"
"81","Oshawa","43.945944","-78.894917","O3"," 20 ppb",20,"ppb"
"82","Oshawa","43.945944","-78.894917","NO2"," 7 ppb",7,"ppb"
"83","Oshawa","43.945944","-78.894917","PM2.5"," 12 µg/m3",12,"µg/m3"
"84","Oshawa","43.945944","-78.894917","NO2","200 ppb",200,"ppb"
"85","Ottawa Downtown","45.434333","-75.676","O3"," 21 ppb",21,"ppb"
"86","Ottawa Downtown","45.434333","-75.676","NO2"," 10 ppb",10,"ppb"
"87","Ottawa Downtown","45.434333","-75.676","PM2.5"," 12 µg/m3",12,"µg/m3"
"88","Ottawa Downtown","45.434333","-75.676","CO"," .18 ppm",0,"ppm"
"89","Parry Sound","45.338261","-80.039269","O3"," 26 ppb",26,"ppb"
"90","Parry Sound","45.338261","-80.039269","NO2"," 2 ppb",2,"ppb"
"91","Parry Sound","45.338261","-80.039269","PM2.5"," 7 µg/m3",7,"µg/m3"
"92","Parry Sound","45.338261","-80.039269","NO2","200 ppb",200,"ppb"
"93","Petawawa","45.996722","-77.441194","O3"," 13 ppb",13,"ppb"
"94","Petawawa","45.996722","-77.441194","O3","80 ppb",80,"ppb"
"95","Petawawa","45.996722","-77.441194","PM2.5"," 8 µg/m3",8,"µg/m3"
"96","Petawawa","45.996722","-77.441194",NA,NA,NA,NA
"97","Peterborough","44.301917","-78.346222","O3"," 24 ppb",24,"ppb"
"98","Peterborough","44.301917","-78.346222","NO2"," 7 ppb",7,"ppb"
"99","Peterborough","44.301917","-78.346222","PM2.5"," 9 µg/m3",9,"µg/m3"
"100","Peterborough","44.301917","-78.346222","NO2","200 ppb",200,"ppb"
"101","Port Stanley","42.672083","-81.162889","O3"," 27 ppb",27,"ppb"
"102","Port Stanley","42.672083","-81.162889","NO2"," 5 ppb",5,"ppb"
"103","Port Stanley","42.672083","-81.162889","PM2.5"," 10 µg/m3",10,"µg/m3"
"104","Port Stanley","42.672083","-81.162889","NO2","200 ppb",200,"ppb"
"105","Sarnia","42.990263","-82.395341","O3"," 24 ppb",24,"ppb"
"106","Sarnia","42.990263","-82.395341","NO2"," 9 ppb",9,"ppb"
"107","Sarnia","42.990263","-82.395341","PM2.5"," 12 µg/m3",12,"µg/m3"
"108","Sarnia","42.990263","-82.395341","SO2"," 1 ppb",1,"ppb"
"109","Sault Ste. Marie","46.533194","-84.309917","O3"," 31 ppb",31,"ppb"
"110","Sault Ste. Marie","46.533194","-84.309917","NO2"," 4 ppb",4,"ppb"
"111","Sault Ste. Marie","46.533194","-84.309917","PM2.5"," 1 µg/m3",1,"µg/m3"
"112","Sault Ste. Marie","46.533194","-84.309917","SO2"," 0 ppb",0,"ppb"
"113","St. Catharines","43.160056","-79.23475","O3"," 24 ppb",24,"ppb"
"114","St. Catharines","43.160056","-79.23475","NO2"," 7 ppb",7,"ppb"
"115","St. Catharines","43.160056","-79.23475","PM2.5"," 11 µg/m3",11,"µg/m3"
"116","St. Catharines","43.160056","-79.23475","NO2","200 ppb",200,"ppb"
"117","Sudbury","46.49194","-81.003105","O3"," 22 ppb",22,"ppb"
"118","Sudbury","46.49194","-81.003105","NO2"," 7 ppb",7,"ppb"
"119","Sudbury","46.49194","-81.003105","PM2.5"," 9 µg/m3",9,"µg/m3"
"120","Sudbury","46.49194","-81.003105","SO2"," 8 ppb",8,"ppb"
"121","Thunder Bay","48.379389","-89.290167","O3"," 31 ppb",31,"ppb"
"122","Thunder Bay","48.379389","-89.290167","NO2"," 2 ppb",2,"ppb"
"123","Thunder Bay","48.379389","-89.290167","PM2.5"," 1 µg/m3",1,"µg/m3"
"124","Thunder Bay","48.379389","-89.290167","NO2","200 ppb",200,"ppb"
"125","Tiverton","44.314472","-81.549722","O3"," 28 ppb",28,"ppb"
"126","Tiverton","44.314472","-81.549722","NO2"," 3 ppb",3,"ppb"
"127","Tiverton","44.314472","-81.549722","PM2.5"," 5 µg/m3",5,"µg/m3"
"128","Tiverton","44.314472","-81.549722","NO2","200 ppb",200,"ppb"
"129","Toronto Downtown","43.662972","-79.388111","O3"," 14 ppb",14,"ppb"
"130","Toronto Downtown","43.662972","-79.388111","NO2"," 16 ppb",16,"ppb"
"131","Toronto Downtown","43.662972","-79.388111","PM2.5"," 13 µg/m3",13,"µg/m3"
"132","Toronto Downtown","43.662972","-79.388111","NO2","200 ppb",200,"ppb"
"133","Toronto East","43.747917","-79.274056","O3"," 13 ppb",13,"ppb"
"134","Toronto East","43.747917","-79.274056","NO2"," 18 ppb",18,"ppb"
"135","Toronto East","43.747917","-79.274056","PM2.5"," 13 µg/m3",13,"µg/m3"
"136","Toronto East","43.747917","-79.274056","NO2","200 ppb",200,"ppb"
"137","Toronto North","43.78047","-79.467372","O3"," 11 ppb",11,"ppb"
"138","Toronto North","43.78047","-79.467372","NO2"," 23 ppb",23,"ppb"
"139","Toronto North","43.78047","-79.467372","PM2.5"," 14 µg/m3",14,"µg/m3"
"140","Toronto North","43.78047","-79.467372","SO2"," 6 ppb",6,"ppb"
"141","Toronto West","43.709444","-79.5435","O3"," 8 ppb",8,"ppb"
"142","Toronto West","43.709444","-79.5435","NO2"," 22 ppb",22,"ppb"
"143","Toronto West","43.709444","-79.5435","PM2.5"," 15 µg/m3",15,"µg/m3"
"144","Toronto West","43.709444","-79.5435","CO"," .25 ppm",0,"ppm"
"145","Windsor Downtown","42.315778","-83.043667","O3"," 15 ppb",15,"ppb"
"146","Windsor Downtown","42.315778","-83.043667","NO2"," 17 ppb",17,"ppb"
"147","Windsor Downtown","42.315778","-83.043667","PM2.5"," 15 µg/m3",15,"µg/m3"
"148","Windsor Downtown","42.315778","-83.043667","CO"," .32 ppm",0,"ppm"
"149","Windsor West","42.292889","-83.073139","O3"," 15 ppb",15,"ppb"
"150","Windsor West","42.292889","-83.073139","NO2"," 15 ppb",15,"ppb"
"151","Windsor West","42.292889","-83.073139","PM2.5"," 17 µg/m3",17,"µg/m3"
"152","Windsor West","42.292889","-83.073139","SO2"," 1 ppb",1,"ppb"
